subject;Age;Gender;task_order;training_performance;experimental_condition;stimulus_identity;Outcome_1_Pos_Neg;Outcome_1_Good_Bad;Outcome_1_Pleasant_Unpleasant;Outcome_1_Like_Dislike;Target_1_Pos_Neg;Target_1_Good_Bad;Target_1_Pleasant_Unpleasant;Target_1_Like_Dislike;Outcome_2_Pos_Neg;Outcome_2_Good_Bad;Outcome_2_Pleasant_Unpleasant;Outcome_2_Like_Dislike;Target_2_Pos_Neg;Target_2_Good_Bad;Target_2_Pleasant_Unpleasant;Target_2_Like_Dislike;Mean_Outcome_1;Mean_Outcome_2;Mean_Target_1;Mean_Target_2;OEC_Effect;IR_Effect;Transformed_OEC_Effect;Transformed_IR_Effect;Intentions_1_3_response;Intentions_2_4_response;stim_1_confidence;stim_2_confidence;stim_3_confidence;stim_4_confidence;Demand_response;Demand_recoded;reactance_question_1;reactance_question_2;believability_question_1;believability_question_2;IAT_D2;IAT_order;Reverse_Scored_IAT_D2;Transformed_IAT_D2
  4;27;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-2; 2; 2; 4; 1; 3; 4; 1; 3;-2; 3; 3;-2;-1;-1;-2; 1,50; 1,75; 2,25;-1,50; -0,25;  3,75;-0,25; 3,75;I would try Brand 3;I would try Brand 2; 1; 2; 0; 4;What I learned during the experiment;Not Demand Compliant;yes;3;yes;5=I moderately believed it;-0,1026739319;Learning_Inconsistent_First; 0,1026739319; 0,1026739319
  6;37;M;Explicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 1; 1; 1; 1; 0;-1; 0;-1;-1;-1;-1; 0;-1; 0; 0; 1,00;-1,00; 0,00;-0,25;  2,00;  0,25; 2,00; 0,25;I would try Brands 1 and 3;I would try Brand 4;-3; 3;-3; 4;What I thought the experimenter wanted me to say;Demand Compliant;yes;6;no;NA;-0,4116838388;Learning_Inconsistent_First; 0,4116838388; 0,4116838388
 11;21;F;Implicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 2; 2; 2; 2; 2; 2; 2; 2;-2;-2;-2;-2;-2;-2;-2;-2; 2,00;-2,00; 2,00;-2,00;  4,00;  4,00; 4,00; 4,00;I would try Brand 1;I would try Brand 2; 2; 2;-2;-2;What I learned during the experiment;Not Demand Compliant;yes;7;no;NA; 0,5017008323;Learning_Consistent_First; 0,5017008323; 0,5017008323
 14;23;M;Explicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-1;-1; 0;-1; 0; 0; 0; 1; 0; 0; 0; 0;-2;-2;-1;-2;-0,75; 0,00; 0,25;-1,75; -0,75;  2,00;-0,75; 2,00;I would try neither Brand;I would try Brand 2; 4; 3; 4; 4;What I learned during the experiment;Not Demand Compliant;yes;3;no;NA; 0,5541274329;Learning_Inconsistent_First;-0,5541274329;-0,5541274329
 15;27;M;Implicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00; 0,00; 0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 5; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;yes;5=I moderately believed it; 0,6168431228;Learning_Consistent_First; 0,6168431228; 0,6168431228
 18;30;F;Explicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-3;-3;-3;-3;-2;-1;-1;-2; 3; 2; 3; 3;-1; 0;-2;-1;-3,00; 2,75;-1,50;-1,00; -5,75; -0,50; 5,75; 0,50;I would try Brands 1 and 3;I would try Brands 2 and 4; 3; 1; 4; 0;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;yes;5=I moderately believed it; 0,1285598884;Learning_Inconsistent_First;-0,1285598884; 0,1285598884
 19;18;M;Implicits First;Fail;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00; 0,00; 0,00;I would try neither Brand;I would try neither Brand; 0; 0; 0; 0;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;no;NA;no;NA; 0,0728838300;Learning_Consistent_First; 0,0728838300;-0,0728838300
 20;28;F;Implicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-1;-2;-1;-1; 0; 0; 0; 0; 0; 0; 0; 0;-1;-1;-1;-1;-1,25; 0,00; 0,00;-1,00; -1,25;  1,00; 1,25;-1,00;I don't know;I would try Brands 2 and 4; 4; 4; 4; 4;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;no;NA;no;NA; 0,7029801256;Learning_Inconsistent_First;-0,7029801256; 0,7029801256
 22;25;M;Explicits First;Fail;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0;-2; 0;-2; 0; 0; 0; 1; 1; 1; 1; 2; 0; 0; 1; 0;-1,00; 1,25; 0,25; 0,25; -2,25;  0,00; 2,25; 0,00;I would try Brand 3;I would try Brand 4;-3;-1;-3;-1;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;3;no;NA; 0,0956690844;Learning_Inconsistent_First;-0,0956690844; 0,0956690844
 25;26;M;Explicits First;Pass;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 2; 2; 3; 2; 2; 2; 2; 2; 2; 2; 2; 2; 3; 2; 2; 0; 2,25; 2,00; 2,00; 1,75;  0,25;  0,25;-0,25;-0,25;I would try Brands 1 and 3;I would try Brands 2 and 4; 3; 0; 2; 0;What I thought the experimenter wanted me to say;Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;no;NA; 0,0457228126;Learning_Consistent_First; 0,0457228126;-0,0457228126
 26;24;F;Explicits First;Pass;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-2;-2;-2;-2; 2; 2; 2; 2; 0; 0; 0; 0; 1; 1; 1; 1;-2,00; 0,00; 2,00; 1,00; -2,00;  1,00; 2,00;-1,00;I would try neither Brand;I would try Brand 2; 2; 5; 0; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;2;no;NA;-0,0349843974;Learning_Inconsistent_First; 0,0349843974;-0,0349843974
 28;35;F;Implicits First;Pass;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-3;-2;-2;-2; 0; 0; 0; 0; 3; 0; 0; 3; 0; 0; 0; 0;-2,25; 1,50; 0,00; 0,00; -3,75;  0,00; 3,75; 0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 0; 0; 0; 0;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;7;no;NA; 0,5704064178;Learning_Inconsistent_First;-0,5704064178; 0,5704064178
 32;39;F;Implicits First;Pass;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 2; 2; 2; 2;-2; 2; 2;-2;-2;-2;-2;-2; 2; 0; 0; 0; 2,00;-2,00; 0,00; 0,50;  4,00; -0,50;-4,00; 0,50;I would try Brand 1;I would try Brand 4; 1; 1; 1; 1;What I learned during the experiment;Not Demand Compliant;yes;4;no;NA;-0,3543847789;Learning_Inconsistent_First; 0,3543847789;-0,3543847789
 35;27;F;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 4; 3; 3; 2; 2; 2; 2;-4;-4;-4;-4;-4;-4;-4;-4; 3,25;-4,00; 2,00;-4,00;  7,25;  6,00; 7,25; 6,00;I would try neither Brand;I would try neither Brand; 4; 2; 3; 4;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA; 0,3769457275;Learning_Consistent_First; 0,3769457275; 0,3769457275
 36;30;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 4; 3; 3; 3; 0; 0; 0; 0;-3;-3;-3;-3; 0; 0; 0; 0; 3,25;-3,00; 0,00; 0,00;  6,25;  0,00; 6,25; 0,00;I would try Brand 1;I don't know; 3; 3; 3; 3;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA; 1,1519035700;Learning_Inconsistent_First;-1,1519035700;-1,1519035700
