subject;block_number;mean_correct;sd_correct;block_type;training_performance
  4;5;1,00;0,0000000;Training;Pass
  6;5;1,00;0,0000000;Training;Pass
 11;5;1,00;0,0000000;Training;Pass
 14;5;1,00;0,0000000;Training;Pass
 15;5;1,00;0,0000000;Training;Pass
 18;5;1,00;0,0000000;Training;Pass
 19;5;0,35;0,4893605;Training;Fail
 20;5;1,00;0,0000000;Training;Pass
 22;5;0,85;0,3663475;Training;Pass
 25;5;1,00;0,0000000;Training;Pass
 26;5;0,95;0,2236068;Training;Pass
 28;5;0,95;0,2236068;Training;Pass
 32;5;1,00;0,0000000;Training;Pass
 33;5;1,00;0,0000000;Training;Pass
 35;5;1,00;0,0000000;Training;Pass
 36;5;1,00;0,0000000;Training;Pass
 37;5;1,00;0,0000000;Training;Pass
 38;5;1,00;0,0000000;Training;Pass
 39;5;0,95;0,2236068;Training;Pass
 41;5;0,95;0,2236068;Training;Pass
 42;5;0,90;0,3077935;Training;Pass
 45;5;1,00;0,0000000;Training;Pass
 46;5;0,30;0,4701623;Training;Fail
 47;5;0,65;0,4893605;Training;Fail
 49;5;0,25;0,4442617;Training;Fail
 50;5;0,95;0,2236068;Training;Pass
 51;5;1,00;0,0000000;Training;Pass
 52;5;1,00;0,0000000;Training;Pass
 53;5;0,95;0,2236068;Training;Pass
 54;5;1,00;0,0000000;Training;Pass
 58;5;1,00;0,0000000;Training;Pass
 61;5;1,00;0,0000000;Training;Pass
 62;5;1,00;0,0000000;Training;Pass
 65;5;0,70;0,4701623;Training;Pass
 67;5;1,00;0,0000000;Training;Pass
 70;5;1,00;0,0000000;Training;Pass
 73;5;0,55;0,5104178;Training;Fail
 76;5;0,95;0,2236068;Training;Pass
 78;5;0,85;0,3663475;Training;Pass
 79;5;0,95;0,2236068;Training;Pass
 80;5;0,95;0,2236068;Training;Pass
 81;5;1,00;0,0000000;Training;Pass
 84;5;1,00;0,0000000;Training;Pass
 87;5;0,90;0,3077935;Training;Pass
 88;5;1,00;0,0000000;Training;Pass
 89;5;1,00;0,0000000;Training;Pass
 93;5;1,00;0,0000000;Training;Pass
 94;5;1,00;0,0000000;Training;Pass
 95;5;1,00;0,0000000;Training;Pass
 96;5;0,90;0,3077935;Training;Pass
 97;5;1,00;0,0000000;Training;Pass
 99;5;1,00;0,0000000;Training;Pass
105;5;1,00;0,0000000;Training;Pass
106;5;0,95;0,2236068;Training;Pass
109;5;0,50;0,5129892;Training;Fail
110;5;0,10;0,3077935;Training;Fail
113;5;0,90;0,3077935;Training;Pass
114;5;1,00;0,0000000;Training;Pass
115;5;1,00;0,0000000;Training;Pass
118;5;1,00;0,0000000;Training;Pass
119;5;0,85;0,3663475;Training;Pass
122;5;1,00;0,0000000;Training;Pass
123;5;0,90;0,3077935;Training;Pass
124;5;0,75;0,4442617;Training;Pass
125;5;0,75;0,4442617;Training;Pass
126;5;0,95;0,2236068;Training;Pass
128;5;1,00;0,0000000;Training;Pass
129;5;0,90;0,3077935;Training;Pass
130;5;1,00;0,0000000;Training;Pass
131;5;0,95;0,2236068;Training;Pass
132;5;0,95;0,2236068;Training;Pass
133;5;0,95;0,2236068;Training;Pass
137;5;1,00;0,0000000;Training;Pass
140;5;0,95;0,2236068;Training;Pass
141;5;1,00;0,0000000;Training;Pass
143;5;0,70;0,4701623;Training;Pass
144;5;0,95;0,2236068;Training;Pass
145;5;1,00;0,0000000;Training;Pass
146;5;0,90;0,3077935;Training;Pass
147;5;1,00;0,0000000;Training;Pass
148;5;1,00;0,0000000;Training;Pass
149;5;0,85;0,3663475;Training;Pass
150;5;1,00;0,0000000;Training;Pass
151;5;1,00;0,0000000;Training;Pass
152;5;1,00;0,0000000;Training;Pass
153;5;1,00;0,0000000;Training;Pass
155;5;1,00;0,0000000;Training;Pass
157;5;1,00;0,0000000;Training;Pass
159;5;0,35;0,4893605;Training;Fail
161;5;1,00;0,0000000;Training;Pass
162;5;0,70;0,4701623;Training;Pass
163;5;1,00;0,0000000;Training;Pass
164;5;1,00;0,0000000;Training;Pass
167;5;1,00;0,0000000;Training;Pass
168;5;0,95;0,2236068;Training;Pass
170;5;1,00;0,0000000;Training;Pass
172;5;1,00;0,0000000;Training;Pass
173;5;1,00;0,0000000;Training;Pass
174;5;1,00;0,0000000;Training;Pass
175;5;1,00;0,0000000;Training;Pass
177;5;1,00;0,0000000;Training;Pass
179;5;0,50;0,5129892;Training;Fail
181;5;0,95;0,2236068;Training;Pass
184;5;1,00;0,0000000;Training;Pass
