subject;stimulus_identity
  4;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  6;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 11;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 14;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 15;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 18;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 19;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 20;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 22;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 25;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 26;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 28;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 32;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 33;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 35;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 36;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 37;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 38;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 39;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 41;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 42;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 45;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 46;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 47;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 49;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 50;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 51;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 52;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 53;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 54;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 58;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 61;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 62;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 65;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 67;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 70;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 73;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 76;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 78;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 79;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 80;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 81;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 84;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 87;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 88;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 89;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 92;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 93;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 94;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 95;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 96;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 97;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 99;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
105;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
106;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
109;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
110;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
113;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
114;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
115;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
