subject;block_number;mean_correct;sd_correct;block_type;training_performance;training_condition
  9;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 11;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 12;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 14;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 16;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 27;4;0,60;0,5026247;Extinction;Fail;Extinction_Condition
 28;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 30;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 32;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 43;4;0,95;0,2236068;Extinction;Pass;Extinction_Condition
 45;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 47;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 57;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 61;4;0,95;0,2236068;Extinction;Pass;Extinction_Condition
 62;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 63;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 73;4;0,95;0,2236068;Extinction;Pass;Extinction_Condition
 74;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 75;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 89;4;0,95;0,2236068;Extinction;Pass;Extinction_Condition
 91;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 92;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 93;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 95;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 96;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
106;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
107;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
108;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
111;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
124;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
125;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
137;4;0,80;0,4103913;Extinction;Pass;Extinction_Condition
139;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
140;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
142;4;0,85;0,3663475;Extinction;Pass;Extinction_Condition
153;4;0,95;0,2236068;Extinction;Pass;Extinction_Condition
155;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
156;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
157;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
158;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
159;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
160;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
172;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
174;4;0,30;0,4701623;Extinction;Fail;Extinction_Condition
175;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
