subject;block_number;mean_correct;sd_correct;block_type;training_performance
  4;5;0,75;0,4442617;Training;Pass
  5;5;1,00;0,0000000;Training;Pass
  6;5;1,00;0,0000000;Training;Pass
  7;5;1,00;0,0000000;Training;Pass
  8;5;0,90;0,3077935;Training;Pass
  9;5;0,95;0,2236068;Training;Pass
 11;5;1,00;0,0000000;Training;Pass
 12;5;1,00;0,0000000;Training;Pass
 14;5;0,95;0,2236068;Training;Pass
 16;5;1,00;0,0000000;Training;Pass
 17;5;1,00;0,0000000;Training;Pass
 18;5;1,00;0,0000000;Training;Pass
 19;5;0,95;0,2236068;Training;Pass
 21;5;0,90;0,3077935;Training;Pass
 22;5;0,35;0,4893605;Training;Fail
 23;5;1,00;0,0000000;Training;Pass
 24;5;1,00;0,0000000;Training;Pass
 27;5;0,65;0,4893605;Training;Fail
 28;5;1,00;0,0000000;Training;Pass
 30;5;1,00;0,0000000;Training;Pass
 32;5;1,00;0,0000000;Training;Pass
 33;5;1,00;0,0000000;Training;Pass
 35;5;0,40;0,5026247;Training;Fail
 36;5;0,80;0,4103913;Training;Pass
 37;5;1,00;0,0000000;Training;Pass
 39;5;0,10;0,3077935;Training;Fail
 43;5;0,45;0,5104178;Training;Fail
 45;5;0,95;0,2236068;Training;Pass
 47;5;0,55;0,5104178;Training;Fail
 49;5;0,80;0,4103913;Training;Pass
 50;5;1,00;0,0000000;Training;Pass
 52;5;1,00;0,0000000;Training;Pass
 53;5;1,00;0,0000000;Training;Pass
 54;5;0,65;0,4893605;Training;Fail
 55;5;1,00;0,0000000;Training;Pass
 56;5;0,65;0,4893605;Training;Fail
 57;5;1,00;0,0000000;Training;Pass
 61;5;1,00;0,0000000;Training;Pass
 62;5;0,70;0,4701623;Training;Pass
 63;5;1,00;0,0000000;Training;Pass
 66;5;0,85;0,3663475;Training;Pass
 70;5;1,00;0,0000000;Training;Pass
 71;5;1,00;0,0000000;Training;Pass
 72;5;0,95;0,2236068;Training;Pass
 73;5;0,80;0,4103913;Training;Pass
 74;5;0,80;0,4103913;Training;Pass
 75;5;1,00;0,0000000;Training;Pass
 76;5;1,00;0,0000000;Training;Pass
 82;5;1,00;0,0000000;Training;Pass
 83;5;0,95;0,2236068;Training;Pass
 84;5;0,95;0,2236068;Training;Pass
 85;5;0,90;0,3077935;Training;Pass
 86;5;1,00;0,0000000;Training;Pass
 88;5;0,80;0,4103913;Training;Pass
 89;5;1,00;0,0000000;Training;Pass
 91;5;1,00;0,0000000;Training;Pass
 92;5;1,00;0,0000000;Training;Pass
 93;5;1,00;0,0000000;Training;Pass
 95;5;0,95;0,2236068;Training;Pass
 96;5;1,00;0,0000000;Training;Pass
 99;5;1,00;0,0000000;Training;Pass
100;5;0,95;0,2236068;Training;Pass
103;5;1,00;0,0000000;Training;Pass
104;5;1,00;0,0000000;Training;Pass
106;5;1,00;0,0000000;Training;Pass
107;5;0,40;0,5026247;Training;Fail
108;5;1,00;0,0000000;Training;Pass
111;5;0,95;0,2236068;Training;Pass
113;5;1,00;0,0000000;Training;Pass
115;5;1,00;0,0000000;Training;Pass
117;5;0,95;0,2236068;Training;Pass
118;5;1,00;0,0000000;Training;Pass
119;5;1,00;0,0000000;Training;Pass
120;5;0,90;0,3077935;Training;Pass
124;5;1,00;0,0000000;Training;Pass
125;5;0,90;0,3077935;Training;Pass
131;5;1,00;0,0000000;Training;Pass
132;5;0,25;0,4442617;Training;Fail
133;5;0,30;0,4701623;Training;Fail
134;5;0,10;0,3077935;Training;Fail
135;5;1,00;0,0000000;Training;Pass
137;5;0,80;0,4103913;Training;Pass
139;5;0,40;0,5026247;Training;Fail
140;5;0,50;0,5129892;Training;Fail
142;5;1,00;0,0000000;Training;Pass
147;5;0,90;0,3077935;Training;Pass
150;5;1,00;0,0000000;Training;Pass
152;5;0,70;0,4701623;Training;Pass
153;5;1,00;0,0000000;Training;Pass
155;5;1,00;0,0000000;Training;Pass
156;5;1,00;0,0000000;Training;Pass
157;5;0,95;0,2236068;Training;Pass
158;5;1,00;0,0000000;Training;Pass
159;5;0,95;0,2236068;Training;Pass
160;5;0,90;0,3077935;Training;Pass
163;5;0,30;0,4701623;Training;Fail
167;5;1,00;0,0000000;Training;Pass
172;5;1,00;0,0000000;Training;Pass
174;5;0,25;0,4442617;Training;Fail
175;5;1,00;0,0000000;Training;Pass
180;5;0,95;0,2236068;Training;Pass
182;5;0,95;0,2236068;Training;Pass
