subject;Age;Gender;task_order;training_performance;experimental_condition;stimulus_identity;Outcome_1_Pos_Neg;Outcome_1_Good_Bad;Outcome_1_Pleasant_Unpleasant;Outcome_1_Like_Dislike;Target_1_Pos_Neg;Target_1_Good_Bad;Target_1_Pleasant_Unpleasant;Target_1_Like_Dislike;Outcome_2_Pos_Neg;Outcome_2_Good_Bad;Outcome_2_Pleasant_Unpleasant;Outcome_2_Like_Dislike;Target_2_Pos_Neg;Target_2_Good_Bad;Target_2_Pleasant_Unpleasant;Target_2_Like_Dislike;Mean_Outcome_1;Mean_Outcome_2;Mean_Target_1;Mean_Target_2;OEC_Effect;IR_Effect;Transformed_OEC_Effect;Transformed_IR_Effect;Intentions_1_3_response;Intentions_2_4_response;stim_1_confidence;stim_2_confidence;stim_3_confidence;stim_4_confidence;Demand_response;Demand_recoded;reactance_question_1;reactance_question_2;believability_question_1;believability_question_2;IAT_D2;IAT_order;Reverse_Scored_IAT_D2;Transformed_IAT_D2
124871589;19;F;Explicits First;Fail;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 3; 2; 3; 2; 2,00; 2,00; 2,00; 2,50;  0,00; -0,50; 0,00; -0,50;I would try Brand 3;I would try Brand 4; 0; 0; 0; 0;NA;NA;NA;NA;NA;NA; 0,15483744;Learning_Consistent_First; 0,15483744; 0,15483744
275096289;20;M;Explicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 1; 2; 1; 1; 0; 0; 1; 1; 2; 1; 0; 0; 1; 1; 0; 1,25; 1,00; 0,50; 0,50;  0,25;  0,00; 0,25;  0,00;I would try Brands 1 and 3;I would try Brands 2 and 4;-1;-1;-1;-1;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;8;no;NA; 0,08181191;Learning_Consistent_First; 0,08181191; 0,08181191
379601181;25;M;Explicits First;Pass;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-5;-5;-5;-5;-3;-3;-3;-3; 2; 2; 2; 2; 2; 2; 3; 3;-5,00; 2,00;-3,00; 2,50; -7,00; -5,50; 7,00;  5,50;I would try Brand 3;I would try neither Brand; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;2;no;NA; 0,17560385;Learning_Consistent_First; 0,17560385;-0,17560385
455981307;31;M;Implicits First;Pass;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0;-3;-1;-1;-1;-1;-2;-2; 0; 0; 0; 0; 2; 2; 2; 2;-1,25; 0,00;-1,50; 2,00; -1,25; -3,50; 1,25;  3,50;I would try Brand 3;I would try Brand 4; 3; 3; 0; 3;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA;-0,09988263;Learning_Consistent_First;-0,09988263; 0,09988263
500854408;21;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 5; 5; 5; 5; 4; 4; 4; 5;-5;-5;-5;-5;-5;-4;-4;-4; 5,00;-5,00; 4,25;-4,25; 10,00;  8,50;10,00;  8,50;I would try Brand 1;I would try Brand 2; 5; 4; 5; 4;What I learned during the experiment;Not Demand Compliant;yes;3;no;NA;-0,22211830;Learning_Inconsistent_First; 0,22211830; 0,22211830
556411884;35;M;Implicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 1; 0; 1; 0; 0;-1; 0;-1; 2; 1; 1; 1; 0,00;-0,50; 0,50; 1,25;  0,50; -0,75; 0,50; -0,75;I would try Brands 1 and 3;I would try Brand 2; 3; 4; 3; 1;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;4;yes;7;-0,22312460;Learning_Inconsistent_First; 0,22312460; 0,22312460
616538237;28;M;Explicits First;Pass;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00; 0,00;  0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 5; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;9=I very strongly resisted your attempts to influence how I felt;no;NA; 0,50648573;Learning_Consistent_First; 0,50648573;-0,50648573
750356114;32;F;Explicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-2;-3;-2;-2; 0; 0; 0; 0; 2; 2; 3; 3; 0; 0; 1; 0;-2,25; 2,50; 0,00; 0,25; -4,75; -0,25; 4,75;  0,25;I would try Brand 3;I don't know; 2; 1; 3; 1;What I learned during the experiment;Not Demand Compliant;yes;3;no;NA; 0,39438328;Learning_Inconsistent_First;-0,39438328; 0,39438328
888776896;28;F;Implicits First;Pass;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-5;-5;-5;-5;-5;-5;-5;-5; 5; 5; 5; 5; 5; 5; 5; 5;-5,00; 5,00;-5,00; 5,00;-10,00;-10,00;10,00; 10,00;I would try Brand 3;I would try Brand 4; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;no;NA;-0,02534651;Learning_Inconsistent_First; 0,02534651;-0,02534651
905546448;28;M;Implicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-2;-2;-2;-2; 0; 0; 0; 0; 0; 0; 0; 0;-3;-3;-3;-1;-2,00; 0,00; 0,00;-2,50; -2,00;  2,50;-2,00;  2,50;I would try Brands 1 and 3;I would try Brands 2 and 4;-5; 0;-5;-5;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;yes;5=I moderately believed it; 0,68089741;Learning_Inconsistent_First;-0,68089741;-0,68089741
905546452;39;F;Implicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-1; 1; 2;-1;-2;-2;-2;-2; 2; 2; 2; 2; 2; 2; 2; 2; 0,25; 2,00;-2,00; 2,00; -1,75; -4,00; 1,75;  4,00;I would try Brand 3;I would try Brand 2; 2; 2; 2; 2;What I learned during the experiment;Not Demand Compliant;yes;4;yes;5=I moderately believed it; 0,29346782;Learning_Inconsistent_First;-0,29346782; 0,29346782
905546453;36;M;Explicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-5;-5;-5;-5;-5;-5;-5;-5; 5; 5; 5; 5; 5; 5; 5; 5;-5,00; 5,00;-5,00; 5,00;-10,00;-10,00;10,00; 10,00;I would try Brand 3;I would try Brand 4; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;8;no;NA;-0,28428834;Learning_Consistent_First;-0,28428834; 0,28428834
