subject;block_number;mean_correct;sd_correct;block_type;training_performance;training_condition
 11;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 14;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 15;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 25;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 26;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 28;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 32;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 41;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 42;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 45;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 46;4;0,90;0,3077935;Extinction;Pass;Extinction_Condition
 47;4;0,80;0,4103913;Extinction;Pass;Extinction_Condition
 58;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 61;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 62;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 73;4;0,90;0,3077935;Extinction;Pass;Extinction_Condition
 76;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 78;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 79;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 80;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 89;4;0,95;0,2236068;Extinction;Pass;Extinction_Condition
 93;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 94;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 95;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 96;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
105;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
106;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
109;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
110;4;0,15;0,3663475;Extinction;Fail;Extinction_Condition
122;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
123;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
124;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
125;4;0,95;0,2236068;Extinction;Pass;Extinction_Condition
128;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
137;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
140;4;0,95;0,2236068;Extinction;Pass;Extinction_Condition
141;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
143;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
144;4;0,95;0,2236068;Extinction;Pass;Extinction_Condition
153;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
155;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
157;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
159;4;0,95;0,2236068;Extinction;Pass;Extinction_Condition
170;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
172;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
173;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
174;4;0,95;0,2236068;Extinction;Pass;Extinction_Condition
175;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
