subject;Age;Gender;task_order;training_performance;experimental_condition;stimulus_identity;Outcome_1_Pos_Neg;Outcome_1_Good_Bad;Outcome_1_Pleasant_Unpleasant;Outcome_1_Like_Dislike;Target_1_Pos_Neg;Target_1_Good_Bad;Target_1_Pleasant_Unpleasant;Target_1_Like_Dislike;Outcome_2_Pos_Neg;Outcome_2_Good_Bad;Outcome_2_Pleasant_Unpleasant;Outcome_2_Like_Dislike;Target_2_Pos_Neg;Target_2_Good_Bad;Target_2_Pleasant_Unpleasant;Target_2_Like_Dislike;Mean_Outcome_1;Mean_Outcome_2;Mean_Target_1;Mean_Target_2;OEC_Effect;IR_Effect;Transformed_OEC_Effect;Transformed_IR_Effect;Intentions_1_3_response;Intentions_2_4_response;stim_1_confidence;stim_2_confidence;stim_3_confidence;stim_4_confidence;Demand_response;Demand_recoded;reactance_question_1;reactance_question_2;believability_question_1;believability_question_2;IAT_D2;IAT_order;Reverse_Scored_IAT_D2;Transformed_IAT_D2
  4;35;F;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 3; 3; 3; 3; 3; 3; 3;-3;-3;-3;-3;-3;-3;-3;-3; 3,00;-3,00; 3,00;-3,00;  6,00;  6,00; 6,00; 6,00;I would try Brand 1;I would try Brand 2; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;yes;5=I moderately believed it;-0,15027220;Learning_Inconsistent_First; 0,15027220; 0,15027220
  5;39;M;Explicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-1;-1;-1;-1; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0;-1,00; 1,00; 0,00; 0,00; -2,00;  0,00;-2,00; 0,00;I would try Brand 3;I would try Brand 4; 1; 1; 1; 1;What I learned during the experiment;Not Demand Compliant;yes;4;no;NA;-0,84570669;Learning_Consistent_First;-0,84570669;-0,84570669
  6;24;M;Explicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00; 0,00; 0,00;I would try neither Brand;I would try neither Brand; 0; 0; 0; 0;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA; 0,21188694;Learning_Inconsistent_First;-0,21188694;-0,21188694
  7;30;M;Implicits First;Fail;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 2; 2; 2; 2; 0; 0; 0; 0; 2; 2; 2; 2; 0; 0; 0; 0; 2,00; 2,00; 0,00; 0,00;  0,00;  0,00; 0,00; 0,00;I would try Brand 3;I would try Brand 2; 5; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;yes;5=I moderately believed it;-0,05490581;Learning_Consistent_First;-0,05490581;-0,05490581
  8;26;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 4; 4; 4; 4; 0; 0; 0; 0;-1;-1;-1;-1;-1;-1;-1;-1; 4,00;-1,00; 0,00;-1,00;  5,00;  1,00; 5,00; 1,00;I would try neither Brand;I would try Brand 4;-4;-4;-4;-4;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;4;no;NA; 1,04704043;Learning_Inconsistent_First;-1,04704043;-1,04704043
  9;42;M;Explicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 2; 2; 2; 2; 2; 0; 2; 0;-2;-2;-2;-2; 0; 2;-2; 0; 2,00;-2,00; 1,00; 0,00;  4,00;  1,00; 4,00; 1,00;I would try Brand 1;I would try Brand 2; 2; 2; 2; 2;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;no;NA; 0,42876734;Learning_Consistent_First; 0,42876734; 0,42876734
 10;33;F;Explicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 5; 5; 5; 5; 5; 5; 5; 5;-5;-3;-5;-5;-3;-3;-5;-5; 5,00;-4,50; 5,00;-4,00;  9,50;  9,00; 9,50; 9,00;I would try Brand 1;I would try Brand 2; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;yes;6; 0,66607545;Learning_Inconsistent_First;-0,66607545;-0,66607545
 11;24;M;Implicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-2;-2;-1;-3; 0; 0; 0; 3;-2;-2;-2;-2; 1; 2;-2; 2;-2,00;-2,00; 0,75; 0,75;  0,00;  0,00; 0,00; 0,00;I would try Brand 1;I would try Brand 2; 2;-2; 3;-1;What I learned during the experiment;Not Demand Compliant;yes;3;yes;5=I moderately believed it; 0,38121902;Learning_Consistent_First; 0,38121902; 0,38121902
 12;28;M;Implicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 5; 5; 5; 5; 5; 5; 5; 5;-3;-5;-5;-5;-3;-4;-5;-3; 5,00;-4,50; 5,00;-3,75;  9,50;  8,75; 9,50; 8,75;I would try Brand 1;I would try Brand 2; 0; 0; 0; 0;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;yes;5=I moderately believed it; 0,04861631;Learning_Inconsistent_First;-0,04861631;-0,04861631
 16;40;F;Implicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00; 0,00; 0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 0; 0; 0; 0;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;2;yes;7; 0,58041252;Learning_Inconsistent_First;-0,58041252;-0,58041252
