subject;Age;Gender;task_order;training_performance;experimental_condition;stimulus_identity;Outcome_1_Pos_Neg;Outcome_1_Good_Bad;Outcome_1_Pleasant_Unpleasant;Outcome_1_Like_Dislike;Target_1_Pos_Neg;Target_1_Good_Bad;Target_1_Pleasant_Unpleasant;Target_1_Like_Dislike;Outcome_2_Pos_Neg;Outcome_2_Good_Bad;Outcome_2_Pleasant_Unpleasant;Outcome_2_Like_Dislike;Target_2_Pos_Neg;Target_2_Good_Bad;Target_2_Pleasant_Unpleasant;Target_2_Like_Dislike;Mean_Outcome_1;Mean_Outcome_2;Mean_Target_1;Mean_Target_2;OEC_Effect;IR_Effect;Transformed_OEC_Effect;Transformed_IR_Effect;Intentions_1_3_response;Intentions_2_4_response;stim_1_confidence;stim_2_confidence;stim_3_confidence;stim_4_confidence;Demand_response;Demand_recoded;reactance_question_1;reactance_question_2;believability_question_1;believability_question_2;IAT_D2;IAT_order;Reverse_Scored_IAT_D2;Transformed_IAT_D2
        3;31;F;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0;-1;-1; 0; 0; 0,00; 0,00; 1,00;-0,50;  0,00; 1,50; 0,00; 1,50;I would try Brands 1 and 3;I would try Brand 2; 2; 0; 0; 1;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA; 0,46020945;Learning_Consistent_First; 0,46020945; 0,46020945
        4;37;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-4;-3;-3;-4;-3;-3;-3;-4; 4; 4; 3; 4; 4; 4; 3; 3;-3,50; 3,75;-3,25; 3,50; -7,25;-6,75;-7,25;-6,75;I would try Brand 3;I would try Brand 4; 4; 4; 4; 4;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;yes;5=I moderately believed it; 0,40585587;Learning_Inconsistent_First;-0,40585587;-0,40585587
        6;32;F;Explicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 5; 5; 5; 5; 5; 5; 5; 5;-5;-5;-5;-5;-5;-5;-5;-5; 5,00;-5,00; 5,00;-5,00; 10,00;10,00;10,00;10,00;I would try Brand 1;I would try Brand 2; 4; 3; 3; 3;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;yes;5=I moderately believed it; 0,21178677;Learning_Inconsistent_First;-0,21178677;-0,21178677
        7;31;F;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 3; 3; 3; 3; 3; 3; 3;-3;-3;-3;-3;-3;-3;-3;-3; 3,00;-3,00; 3,00;-3,00;  6,00; 6,00; 6,00; 6,00;I would try Brand 1;I would try Brand 2; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;no;NA;yes;5=I moderately believed it; 0,47163021;Learning_Consistent_First; 0,47163021; 0,47163021
        8;39;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 2; 2; 0; 0; 0; 0; 0; 0;-1; 0; 0; 0;-1; 0; 0; 0; 1,00;-0,25; 0,00;-0,25;  1,25; 0,25; 1,25; 0,25;I would try Brand 1;I would try Brand 4; 0; 0; 0; 0;What I thought the experimenter wanted me to say;Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA; 0,13290554;Learning_Inconsistent_First;-0,13290554;-0,13290554
        9;30;M;Explicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 3; 3; 3; 0; 0; 0; 0;-2;-2;-2;-2; 0; 0; 0; 0; 3,00;-2,00; 0,00; 0,00;  5,00; 0,00; 5,00; 0,00;I would try Brand 1;I would try neither Brand; 2;-1; 2; 2;What I learned during the experiment;Not Demand Compliant;yes;2;no;NA;-0,37617211;Learning_Consistent_First;-0,37617211;-0,37617211
       11;31;M;Implicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 0; 1; 1; 3; 3; 3; 3; 1; 2; 2; 2; 1;-1; 0; 0; 0,75; 1,75; 3,00; 0,00; -1,00; 3,00;-1,00; 3,00;I would try Brand 3;I would try Brand 2; 1; 3; 2;-1;What I learned during the experiment;Not Demand Compliant;yes;6;yes;4; 0,48886845;Learning_Consistent_First; 0,48886845; 0,48886845
       16;29;F;Implicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 5; 5; 5; 5; 0; 0; 0; 0;-5;-5;-5;-5; 0; 0; 0; 0; 5,00;-5,00; 0,00; 0,00; 10,00; 0,00;10,00; 0,00;I would try Brand 1;I would try Brands 2 and 4; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;yes;5=I moderately believed it;-0,22309411;Learning_Inconsistent_First; 0,22309411; 0,22309411
       17;33;M;Explicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00; 0,00; 0,00; 0,00;I don't know;I don't know; 5; 5; 5; 5;NA;NA;NA;NA;NA;NA;-0,03656596;Learning_Consistent_First;-0,03656596; 0,03656596
       20;21;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-3;-3;-3;-3;-4;-4;-3;-4; 3; 3; 3; 4; 3; 4; 3; 4;-3,00; 3,25;-3,75; 3,50; -6,25;-7,25; 6,25; 7,25;I would try Brand 3;I would try Brand 4; 2; 3; 2; 4;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA; 0,60305275;Learning_Inconsistent_First;-0,60305275; 0,60305275
